Release date,Product Family,Product,Platform,Impact,Max Severity,Article,Article,Download,Download,Details,Details,Base Score
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1709 for x64-based Systems,Remote Code Execution,Important,4338825,https://support.microsoft.com/help/4338825,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338825,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1709 for 32-bit Systems,Remote Code Execution,Important,4338825,https://support.microsoft.com/help/4338825,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338825,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for x64-based Systems,Remote Code Execution,Important,4338819,https://support.microsoft.com/help/4338819,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338819,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for 32-bit Systems,Remote Code Execution,Important,4338819,https://support.microsoft.com/help/4338819,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338819,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1703 for x64-based Systems,Remote Code Execution,Important,4338826,https://support.microsoft.com/help/4338826,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338826,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1703 for 32-bit Systems,Remote Code Execution,Important,4338826,https://support.microsoft.com/help/4338826,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338826,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Internet Explorer 11,Windows 10 Version 1709 for x64-based Systems,Remote Code Execution,Important,4338825,https://support.microsoft.com/help/4338825,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338825,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Internet Explorer 11,Windows 10 Version 1709 for 32-bit Systems,Remote Code Execution,Important,4338825,https://support.microsoft.com/help/4338825,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338825,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Internet Explorer 11,Windows 10 Version 1803 for x64-based Systems,Remote Code Execution,Important,4338819,https://support.microsoft.com/help/4338819,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338819,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
"Dec 13, 2016",Browser,Internet Explorer 11,Windows 10 Version 1803 for 32-bit Systems,Remote Code Execution,Important,4338819,https://support.microsoft.com/help/4338819,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4338819,CVE-2016-7279,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2016-7279,7.5
